Most common words,DonaldTrump.txt Relative frequency,hillaryClinton.txt Relative frequency,Relative frequency difference
hillari,0.0019157088122605363,0.0030211480362537764,0.0011054392239932401
led,0.0019157088122605363,0.0030211480362537764,0.0011054392239932401
nomin,0.0019157088122605363,0.0030211480362537764,0.0011054392239932401
school,0.009578544061302681,0.010574018126888218,0.0009954740655855367
born,0.0038314176245210726,0.0030211480362537764,0.0008102695882672962
medic,0.0038314176245210726,0.0030211480362537764,0.0008102695882672962
york,0.0038314176245210726,0.0030211480362537764,0.0008102695882672962
donald,0.0038314176245210726,0.0030211480362537764,0.0008102695882672962
becam,0.0038314176245210726,0.0030211480362537764,0.0008102695882672962
act,0.0038314176245210726,0.0030211480362537764,0.0008102695882672962
graduat,0.0038314176245210726,0.0030211480362537764,0.0008102695882672962
new,0.0038314176245210726,0.0030211480362537764,0.0008102695882672962
health,0.0038314176245210726,0.004531722054380665,0.0007003044298595925
elector,0.0038314176245210726,0.004531722054380665,0.0007003044298595925
serv,0.0038314176245210726,0.004531722054380665,0.0007003044298595925
presid,0.011494252873563218,0.012084592145015106,0.0005903392714518875
justic,0.0019157088122605363,0.0015105740181268882,0.0004051347941336481
campaign,0.0019157088122605363,0.0015105740181268882,0.0004051347941336481
leader,0.0019157088122605363,0.0015105740181268882,0.0004051347941336481
jr,0.0019157088122605363,0.0015105740181268882,0.0004051347941336481
mostli,0.0019157088122605363,0.0015105740181268882,0.0004051347941336481
histori,0.0019157088122605363,0.0015105740181268882,0.0004051347941336481
younger,0.0019157088122605363,0.0015105740181268882,0.0004051347941336481
fraud,0.0019157088122605363,0.0015105740181268882,0.0004051347941336481
politician,0.0019157088122605363,0.0015105740181268882,0.0004051347941336481
committe,0.0019157088122605363,0.0015105740181268882,0.0004051347941336481
child,0.0019157088122605363,0.0015105740181268882,0.0004051347941336481
whose,0.0019157088122605363,0.0015105740181268882,0.0004051347941336481
numer,0.0019157088122605363,0.0015105740181268882,0.0004051347941336481
support,0.0019157088122605363,0.0015105740181268882,0.0004051347941336481
statement,0.0019157088122605363,0.0015105740181268882,0.0004051347941336481
defeat,0.0019157088122605363,0.0015105740181268882,0.0004051347941336481
establish,0.0019157088122605363,0.0015105740181268882,0.0004051347941336481
onli,0.0019157088122605363,0.0015105740181268882,0.0004051347941336481
